Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Valor Fixo,Tipo de cor,Tracção,Emissões CO2,Origem,Consumo Urbano,Consumo Extra Urbano,IUC,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Consumo Combinado,Garantia de Fábrica até,ou até,Consumo,Clássico,Site,Portugal
Profissional,Nissan,Micra,Gasolina,Fevereiro,2020,61 300 km,999 cm3,100 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,5,Classe 1,,,18 Meses,,,,Sim,Usados,15 990        EUR,8089936677,6 Julho 2023,1.0 IG-T N-Sport,Sim,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,Gasolina,Agosto,2019,121 993 km,1 199 cm3,130 cv,Sim,,SUV / TT,Branco,Automática,8,5,5,Classe 1,Sim,,18 Meses,1,Sim,Sim,Sim,Usados,21 450        EUR,8089936676,6 Julho 2023,PureTech 130 Stop & Start GPF EAT8 Active,,,Tracção dianteira,112 g/km,,"5,60 l/100km","4,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,Stelvio,Diesel,Julho,2017,76 960 km,2 143 cm3,180 cv,Sim,Sim,SUV / TT,Azul,Automática,8,5,5,,,,18 Meses,,,,Sim,Usados,29 990        EUR,8089936673,6 Julho 2023,2.2 D Super AT8,Sim,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,Diesel,Julho,2018,32 226 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,,,,Sim,Usados,17 490        EUR,8089936675,6 Julho 2023,1.5 dCi N-Connecta,Sim,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Duster,Gasolina,Dezembro,2019,81 793 km,1 332 cm3,130 cv,Sim,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,,,,Sim,Usados,17 490        EUR,8089936672,6 Julho 2023,1.3 TCe Prestige,Sim,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Grand Scénic,Diesel,Maio,2018,104 000 km,1 461 cm3,110 cv,Sim,Sim,Monovolume,Cinzento,Manual,6,5,7,Classe 1,Sim,,18 Meses,,Sim,Sim,Sim,Usados,18 995        EUR,8088140706,6 Julho 2023,1.5 dCi Dynamique S SS,Sim,Metalizado,Tracção dianteira,104 g/km,,"4,50 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Diesel,Abril,2019,98 571 km,1 461 cm3,90 cv,,Sim,Citadino,Cinzento,Manual,,5,,,,,18 Meses,,,,,Usados,15 499        EUR,8089989343,6 Julho 2023,1.5 dCi Limited,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,220,Diesel,Janeiro,2014,94 000 km,1 995 cm3,184 cv,Sim,Sim,Coupé,Preto,Automática,,3,4,Classe 1,Sim,,18 Meses,1,Sim,Sim,Sim,Usados,25 900        EUR,8089412319,6 Julho 2023,,Sim,Metalizado,,,,,,,Série 2,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,Diesel,Maio,2017,125 026 km,1 422 cm3,105 cv,Sim,Sim,Citadino,Branco,Manual,5,3,5,Classe 1,,02/05/2025,18 Meses,1,,,Sim,Usados,16 750        EUR,8089702333,6 Julho 2023,,,Metalizado,Tracção dianteira,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V40 Cross Country,Diesel,Março,2015,176 000 km,1 560 cm3,114 cv,Sim,Sim,Utilitário,Branco,Manual,6,5,5,Classe 1,Sim,,18 Meses,1,,Sim,Sim,Usados,16 900        EUR,8089412756,6 Julho 2023,,Sim,Metalizado,,99 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,Diesel,Fevereiro,2019,99 000 km,1 499 cm3,102 cv,Sim,Sim,Utilitário,Preto,Manual,,5,5,Classe 1,Sim,,18 Meses,1,Sim,,Sim,Usados,15 900        EUR,8089412698,6 Julho 2023,,Sim,Metalizado,,99 g/km,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V60 Cross Country,Diesel,Setembro,2015,119 634 km,1 969 cm3,150 cv,Sim,Sim,Carrinha,Castanho,Automática,8,5,5,Classe 1,,,18 Meses,,,,Sim,Usados,20 990        EUR,8089936671,6 Julho 2023,2.0 D3 Summum Geartronic,Sim,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Scirocco,Diesel,Março,2016,100 000 km,1 968 cm3,150 cv,Sim,Sim,Coupé,Cinzento,Manual,6,3,4,Classe 1,,,18 Meses,1,Sim,Sim,Sim,Usados,22 480        EUR,8088207484,6 Julho 2023,2.0 TDI Sport,,Mate,Tracção traseira,,Nacional,5 l/100km,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,MINI,Cooper,Gasolina,Junho,2015,64 000 km,1 998 cm3,192 cv,Sim,Sim,Utilitário,Cinzento,Manual,,3,,,,,,,,,,Usados,22 900        EUR,8089972644,6 Julho 2023,S Seven Chili,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500X,Diesel,Maio,2020,70 000 km,1 248 cm3,95 cv,Sim,Sim,SUV / TT,Preto,Manual,,5,5,,Sim,,18 Meses,,Sim,Sim,Sim,Usados,19 400        EUR,8089151074,6 Julho 2023,1.3 MJ Cross,,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,Gasolina,Janeiro,2020,68 000 km,1 499 cm3,102 cv,Sim,,Utilitário,Cinzento,Manual,6,3,4,Classe 1,,,18 Meses,1,Sim,Sim,Sim,Usados,25 900        EUR,8089064131,6 Julho 2023,Sport Edition,Sim,Metalizado,Tracção dianteira,,Nacional,,,"180,34 €",,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Clubman,Diesel,Janeiro,2019,26 433 km,1 496 cm3,116 cv,Sim,Sim,Carrinha,Vermelho,Manual,6,6,5,Classe 1,,,18 Meses,,,,Sim,Usados,20 990        EUR,8089936667,6 Julho 2023,One D,Sim,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,VW,Golf,Diesel,Abril,2014,170 000 km,1 968 cm3,184 cv,,,Citadino,Preto,Automática,6,5,5,Classe 1,,,,,Sim,Sim,Sim,Usados,19 900        EUR,8089345270,6 Julho 2023,2.0 TDi GTD DSG,Sim,,Tracção dianteira,,Importado,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,218,Diesel,Outubro,2014,102 000 km,1 995 cm3,143 cv,Sim,Sim,Coupé,Branco,Manual,6,2,4,Classe 1,Sim,,18 Meses,,,Sim,Sim,Usados,23 900        EUR,8089412457,6 Julho 2023,d Pack M,Sim,Metalizado,Tracção traseira,119 g/km,Importado,"5,50 l/100km","3,90 l/100km",,Série 2,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Gasolina,Junho,2021,51 424 km,1 199 cm3,100 cv,,Sim,Citadino,Cinzento,Manual,,5,,,,,36 Meses,,,,,Usados,18 499        EUR,8089989341,6 Julho 2023,1.2 T GS Line,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,Gasolina,Abril,2022,29 615 km,999 cm3,92 cv,,Sim,Citadino,Cinzento,Manual,,5,,,,,36 Meses,,,,,Usados,17 299        EUR,8089989340,6 Julho 2023,1.0 IG-T Acenta,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Arona,Gasolina,Junho,2022,9 456 km,999 cm3,110 cv,Sim,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,,,36 Meses,1,Sim,Sim,Sim,Usados,20 950        EUR,8089936657,6 Julho 2023,1.0 TSI Style,,Metalizado,Tracção dianteira,,Nacional,,,,,Sim,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3 Aircross,Gasolina,Abril,2019,41 362 km,1 199 cm3,82 cv,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,,,18 Meses,,,,Sim,Usados,16 490        EUR,8089936665,6 Julho 2023,1.2 PureTech Feel,Sim,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,Q2,Gasolina,Junho,2020,77 668 km,999 cm3,116 cv,,Sim,SUV / TT,Branco,Manual,,5,,,,,24 Meses,,,,,Usados,23 499        EUR,8089989339,6 Julho 2023,30 TFSI,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Eléctrico,Setembro,2019,65 000 km,,136 cv,Sim,Sim,Citadino,Branco,Automática,,5,5,,,,18 Meses,,,,Sim,Usados,21 900        EUR,8089989337,6 Julho 2023,Intens 50,Sim,,Tracção dianteira,,Importado,,,,,,Sim,,50 kWh,Própria,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,Gasolina,Abril,2019,63 651 km,999 cm3,100 cv,,Sim,Citadino,Azul,Manual,,5,,,,,18 Meses,,,,,Usados,15 499        EUR,8089989335,6 Julho 2023,1.0 IG-T N-Connecta,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Sportsvan,Diesel,Fevereiro,2017,71 636 km,1 598 cm3,110 cv,,Sim,Utilitário,Cinzento,Automática,,5,,,,,18 Meses,,,,,Usados,20 999        EUR,8089989333,6 Julho 2023,1.6 TDI GPS Edition DSG,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,Diesel,Maio,2019,124 000 km,1 499 cm3,102 cv,Sim,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,Sim,,18 Meses,,,Sim,Sim,Usados,15 500        EUR,8089822092,6 Julho 2023,1.5 BlueHDi Active,,Metalizado,Tracção dianteira,,Importado,"3,90 l/100km",,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,Diesel,Setembro,2018,87 000 km,1 461 cm3,109 cv,Sim,Sim,Carrinha,Cinzento,Manual,,5,5,Classe 1,Sim,,18 Meses,1,Sim,Sim,Sim,Usados,28 750        EUR,8089389395,6 Julho 2023,d Shooting Brake AMG Line,Sim,,,,Nacional,,,"154,12 €",Classe CLA,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,Diesel,Janeiro,2014,158 000 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,,15/01/2024,18 Meses,,,Sim,Sim,Usados,16 990        EUR,8089703817,6 Julho 2023,1.5 dCi Tekna Sport 18 129g,Sim,Metalizado,Tracção dianteira,129 g/km,,"6,30 l/100km","4,60 l/100km",147 €,,,,,,,,,,,,,StandVirtual,Yes
Particular,Volvo,V40,Diesel,Dezembro,2014,147 000 km,1 560 cm3,115 cv,,,Sedan,Preto,Automática,6,5,,Classe 1,,,,,,,,Usados,15 490        EUR,8089912978,6 Julho 2023,1.6 D2 Momentum Powershift,,Metalizado,Tracção dianteira,105 g/km,,"4,40 l/100km","3,80 l/100km",150 €,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Bayon,Gasolina,Junho,2022,18 229 km,998 cm3,102 cv,,,SUV / TT,Cinzento,Manual,,5,5,,,,36 Meses,,,,,Usados,20 980        EUR,8089989329,6 Julho 2023,1.0 T-GDi Premium,Sim,,,,Nacional,,,,,,,,,,,"5,50 l/100km",,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Gasolina,Junho,2021,56 190 km,1 199 cm3,100 cv,,Sim,Citadino,Branco,Manual,,5,,,,,24 Meses,,,,,Usados,18 499        EUR,8089989328,6 Julho 2023,1.2 T GS Line,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,Gasolina,Dezembro,2020,55 536 km,898 cm3,90 cv,,Sim,Carrinha,Preto,Manual,,5,,,,,36 Meses,,,,,Usados,15 999        EUR,8089989327,6 Julho 2023,0.9 TCe Limited,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon,Gasolina,Julho,2021,27 500 km,999 cm3,110 cv,,Sim,Utilitário,Branco,Manual,,5,,,,,36 Meses,,,,,Usados,22 999        EUR,8089989331,6 Julho 2023,1.0 TSI Style,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,Gasolina,Outubro,2016,118 000 km,1 197 cm3,115 cv,,Sim,SUV / TT,Preto,Manual,6,5,5,,,,18 Meses,,,,Sim,Usados,16 750        EUR,8089497078,6 Julho 2023,1.2 DIG-T Black Edition,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Stonic,Gasolina,Março,2022,22 000 km,998 cm3,100 cv,Sim,Sim,SUV / TT,Vermelho,Manual,6,5,5,Classe 1,,30/03/2026,36 Meses,,Sim,Sim,Sim,Usados,19 980        EUR,8088784258,6 Julho 2023,1.0 T-GDi Wave,Sim,Metalizado,Tracção dianteira,119 g/km,Nacional,,,109 €,,Sim,Sim,,,,850 km,,30/03/2029,150 000 km,,,StandVirtual,Yes
Profissional,SEAT,Ateca,Diesel,Maio,2017,130 000 km,1 598 cm3,115 cv,Sim,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,,,Sim,Sim,Usados,18 800        EUR,8089950083,4 Julho 2023,1.6 TDI Ecomotive Reference,Sim,Metalizado,Tracção dianteira,140 g/km,Nacional,"5,20 l/100km","4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,Diesel,Junho,2018,110 000 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Cinzento,Manual,6,5,6,Classe 1,,24/06/2024,18 Meses,1,Sim,Sim,Sim,Usados,23 900        EUR,8089946075,6 Julho 2023,1.5 dCi Tekna 19 Pele,,Metalizado,Tracção dianteira,103 g/km,Nacional,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,Gasolina,Março,2021,65 105 km,1 199 cm3,75 cv,Sim,Sim,Utilitário,Branco,Manual,5,5,5,Classe 1,,01/03/2025,18 Meses,,Sim,Sim,Sim,Usados,16 990        EUR,8089945887,6 Julho 2023,1.2 PureTech Active Pack,,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,Gasolina,Maio,2017,54 000 km,1 197 cm3,115 cv,Sim,Sim,Utilitário,Preto,Manual,6,5,5,Classe 1,,,18 Meses,,,,,Usados,16 500        EUR,8088921259,6 Julho 2023,1.2 DIG-T Black Edition,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,Diesel,Outubro,2019,148 000 km,1 461 cm3,115 cv,Sim,Sim,Carrinha,Azul,Manual,6,5,5,,,,18 Meses,2,,,Sim,Usados,17 850        EUR,8088216062,6 Julho 2023,1.5 Blue dCi Limited,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,A 200,Diesel,Maio,2013,120 000 km,1 796 cm3,136 cv,,,Citadino,Branco,Manual,6,5,5,Classe 1,,31/05/2024,,1,Sim,Sim,Sim,Usados,18 250        EUR,8089773956,6 Julho 2023,CDi BE Urban,,Metalizado,Tracção dianteira,118 g/km,Nacional,"5,30 l/100km","3,70 l/100km",235 €,Classe A,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,Gasolina,Dezembro,2021,36 226 km,998 cm3,120 cv,,,SUV / TT,Preto,Manual,,5,5,,,,65 Meses,,,,,Usados,21 450        EUR,8089989325,6 Julho 2023,1.0 T-GDi Premium TT,Sim,,,,Nacional,,,,,,,,,,,6 l/100km,28/12/2028,,,,StandVirtual,Yes
Profissional,Hyundai,Bayon,Gasolina,Março,2023,29 658 km,998 cm3,102 cv,Sim,Sim,SUV / TT,Branco,Manual,,5,5,,,,18 Meses,,,,,Usados,20 490        EUR,8089970430,6 Julho 2023,1.0 T-GDi Premium,Sim,,,,Nacional,,,,,,,,,,,"5,50 l/100km",,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 300,Híbrido (Diesel),Junho,2015,108 000 km,2 143 cm3,231 cv,Sim,Sim,Carrinha,Azul,Automática,7,5,5,Classe 1,,,18 Meses,,Sim,Sim,Sim,Usados,27 950        EUR,8084238824,6 Julho 2023,BlueTEC Hybrid Avantgarde,,Metalizado,Tracção traseira,119 g/km,,,,,Classe E,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,C-HR,Híbrido (Gasolina),Junho,2020,40 100 km,1 798 cm3,122 cv,,Sim,SUV / TT,Branco,Automática,,5,,,,,18 Meses,,,,,Usados,28 999        EUR,8089836655,6 Julho 2023,1.8 Hybrid Square Collection,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,Gasolina,Dezembro,2017,26 458 km,898 cm3,90 cv,,Sim,Citadino,Cinzento,Manual,,5,,,,,18 Meses,,,,,Usados,15 699        EUR,8089372954,6 Julho 2023,0.9 IG-T N-Connecta S/S,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,116,Gasolina,Maio,2015,120 400 km,1 598 cm3,136 cv,,,Utilitário,Preto,Manual,,5,,,,,,,,,,Usados,15 400        EUR,8089969485,6 Julho 2023,i Pack M,,Metalizado,,,,"7,30 l/100km",,,Série 1,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,Gasolina,Julho,2017,49 865 km,999 cm3,115 cv,,Sim,Citadino,Branco,Manual,,5,,,,,18 Meses,,,,,Usados,16 899        EUR,8089105125,6 Julho 2023,1.0 EcoTSI FR,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,GPL,Novembro,2020,68 314 km,999 cm3,100 cv,,Sim,Citadino,Cinzento,Manual,,5,,,,,36 Meses,,,,,Usados,17 490        EUR,8089989319,6 Julho 2023,1.0 TCe Intens Bi-Fuel,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,A 180,Diesel,Novembro,2016,119 000 km,1 461 cm3,109 cv,Sim,Sim,Utilitário,Cinzento,Manual,,5,,,Sim,,,,,,,Usados,17 500        EUR,8089936643,6 Julho 2023,d Fleet Pack Urban,,,,,,"4,50 l/100km",,,Classe A,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa-e,Eléctrico,Março,2021,55 237 km,,136 cv,,Sim,Utilitário,Vermelho,Automática,,5,,,,,36 Meses,,,,,Usados,26 999        EUR,8089989318,6 Julho 2023,Elegance,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,Diesel,Fevereiro,2018,183 000 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Preto,Manual,6,5,5,Classe 1,,,18 Meses,1,Sim,,Sim,Usados,19 750        EUR,8089759361,6 Julho 2023,1.5 dCi N-Connecta 18,Sim,Metalizado,Tracção dianteira,99 g/km,Nacional,"4,20 l/100km","3,60 l/100km",,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Duster,Gasolina,Abril,2019,95 400 km,1 598 cm3,115 cv,,Sim,SUV / TT,Azul,Manual,,5,,,,,18 Meses,,,,,Usados,18 799        EUR,8089989315,6 Julho 2023,,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Puma,Gasolina,Maio,2021,47 550 km,998 cm3,155 cv,,Sim,SUV / TT,Preto,Manual,,5,,,,,36 Meses,,,,,Usados,23 799        EUR,8089989314,6 Julho 2023,1.0 EcoBoost MHEV ST-Line,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Volvo,V60,Gasolina,Janeiro,2018,53 140 km,1 498 cm3,152 cv,,,Carrinha,Preto,Automática,,5,5,Classe 1,,,,,,Sim,Sim,Usados,29 000        EUR,8089912973,6 Julho 2023,1.5 T3 Kinetic,,Metalizado,Tracção dianteira,138 g/km,,"7,60 l/100km","4,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,Diesel,Abril,2019,107 069 km,1 499 cm3,102 cv,,Sim,Citadino,Branco,Manual,,5,,,,,18 Meses,,,,,Usados,15 299        EUR,8089989311,6 Julho 2023,1.5 BlueHDi Signature,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,Diesel,Maio,2019,87 141 km,1 461 cm3,115 cv,,Sim,Carrinha,Branco,Manual,,5,,,,,18 Meses,,,,,Usados,19 599        EUR,8089554987,6 Julho 2023,1.5 Blue dCi GT Line,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i30,Gasolina,Maio,2021,44 386 km,998 cm3,120 cv,,,Utilitário,Cinzento,Manual,,5,5,,,,58 Meses,,,,,Usados,20 250        EUR,8089924648,6 Julho 2023,1.0 T-GDI Style,Sim,,,,Nacional,,,,,,,,,,,"5,60 l/100km",25/05/2028,,,,StandVirtual,Yes
Particular,Peugeot,2008,Gasolina,Janeiro,2019,56 000 km,1 199 cm3,110 cv,,,SUV / TT,Cinzento,Automática,6,5,5,,,,,,,,,Usados,17 800        EUR,8089839542,6 Julho 2023,1.2 PureTech Allure EAT6,,Metalizado,Tracção dianteira,154 g/km,,"6,60 l/100km",5 l/100km,14 505 €,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Kadjar,Diesel,Fevereiro,2020,14 899 km,1 461 cm3,115 cv,Sim,Sim,SUV / TT,Preto,Manual,6,5,5,Classe 1,,,36 Meses,1,,,Sim,Usados,24 950        EUR,8089341107,6 Julho 2023,1.5 dCi Intens C/PM+Pneu,Sim,Metalizado,,,Nacional,,,,,,Sim,,,,,,31/12/2023,,,,StandVirtual,Yes
Profissional,Renault,Captur,Gasolina,Março,2020,29 873 km,999 cm3,100 cv,Sim,Sim,SUV / TT,Vermelho,Manual,5,5,5,Classe 1,,,18 Meses,1,,,Sim,Usados,19 950        EUR,8088807214,6 Julho 2023,1.0 TCe Exclusive,Sim,,,,Nacional,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,Diesel,Março,2017,127 000 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Manual,,5,,Classe 1,Sim,,18 Meses,,Sim,Sim,Sim,Usados,16 980        EUR,8087428108,6 Julho 2023,1.5 dCi Limited SS,Sim,,,,,"3,90 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Particular,DS,DS7 Crossback,Diesel,Março,2019,166 500 km,1 499 cm3,130 cv,,,SUV / TT,Branco,Manual,6,5,5,Classe 1,,,,1,Sim,Sim,Sim,Usados,24 500        EUR,8089908527,6 Julho 2023,,,,Tracção dianteira,,Nacional,,,"181,77 €",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,Gasolina,Junho,2021,52 670 km,998 cm3,125 cv,,Sim,Utilitário,Branco,Manual,,5,,,,,24 Meses,,,,,Usados,23 799        EUR,8089989308,6 Julho 2023,1.0 EcoBoost MHEV ST-Line,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,Partner,Diesel,Setembro,2020,87 386 km,1 499 cm3,131 cv,,,Carrinha,Branco,Manual,6,3,3,Classe 1,,24/09/2023,,,Sim,,Sim,Usados,18 500        EUR,8089959474,4 Julho 2023,,,Pérola,Tracção dianteira,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Gasolina,Fevereiro,2019,46 802 km,898 cm3,90 cv,Sim,Sim,Citadino,Vermelho,Manual,5,5,5,Classe 1,,01/02/2025,18 Meses,1,Sim,,Sim,Usados,15 390        EUR,8087882888,6 Julho 2023,0.9 TCe Limited Bi-Fuel,Sim,,,,Nacional,"8,70 l/100km",,108 €,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,Gasolina,Setembro,2019,65 000 km,1 499 cm3,102 cv,,,Utilitário,Cinzento,Automática,,3,4,Classe 1,,,18 Meses,1,Sim,Sim,Sim,Usados,24 950        EUR,8088424982,6 Julho 2023,Camden Edition Auto,Sim,,,,Importado,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Eléctrico,Maio,2020,26 250 km,,109 cv,Sim,Sim,Pequeno citadino,Branco,Automática,,5,5,,,,18 Meses,1,Sim,,Sim,Usados,15 999        EUR,8088089487,3 Julho 2023,Limited 50,,Metalizado,,,,,,,,Sim,Sim,395 km,,Aluguer,,,,,"17,30 kWh/100km",,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,Gasolina,Dezembro,2020,54 026 km,898 cm3,90 cv,,Sim,Carrinha,Cinzento,Manual,,5,,,,,24 Meses,,,,,Usados,15 999        EUR,8089989307,6 Julho 2023,0.9 TCe Limited,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,Gasolina,Dezembro,2020,56 998 km,898 cm3,90 cv,,Sim,Carrinha,Cinzento,Manual,,5,,,,,36 Meses,,,,,Usados,15 999        EUR,8089989306,6 Julho 2023,0.9 TCe Limited,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 200,Diesel,Fevereiro,2017,135 635 km,1 598 cm3,136 cv,,Sim,Carrinha,Preto,Automática,,5,,,,,18 Meses,,,,,Usados,25 999        EUR,8089989305,6 Julho 2023,d Exclusive Aut.,Sim,,,,Nacional,,,,Classe C,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,B 180,Diesel,Janeiro,2017,73 500 km,1 461 cm3,109 cv,,,Utilitário,Preto,Manual,6,5,5,Classe 1,Sim,30/01/2024,,1,Sim,Sim,Sim,Usados,18 950        EUR,8089912900,6 Julho 2023,d Urban,,Metalizado,Tracção dianteira,107 g/km,Nacional,"4,60 l/100km","3,80 l/100km",165 €,Classe B,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3 Aircross,Diesel,Fevereiro,2021,41 839 km,1 499 cm3,110 cv,,Sim,SUV / TT,Cinzento,Manual,,5,,,,,18 Meses,,,,,Usados,19 499        EUR,8089989304,6 Julho 2023,1.5 BlueHDi C-Series,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLA 180,Diesel,Dezembro,2017,75 000 km,1 461 cm3,109 cv,Sim,Sim,SUV / TT,Azul,Automática,,5,5,Classe 1,Sim,,48 Meses,,,Sim,Sim,Usados,27 990        EUR,8089774006,6 Julho 2023,CDi Urban Aut.,Sim,Metalizado,,118 g/km,,,,,Classe GLA,,,,,,,,,,,,StandVirtual,Yes
