Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Valor Fixo,Tipo de cor,Tracção,Emissões CO2,Origem,Consumo Urbano,Consumo Extra Urbano,IUC,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Consumo Combinado,Garantia de Fábrica até,ou até,Consumo,Clássico,Site,Portugal
Particular,Opel,Corsa,Diesel,Dezembro,2010,169 000 km,1 248 cm3,95 cv,,,Citadino,Preto,Manual,,5,,,,,,,,Sim,Sim,Usados,5 500        EUR,8089912954,6 Julho 2023,,,,,,,"5,30 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,118,Diesel,Julho,2012,175 000 km,1 995 cm3,143 cv,,,Utilitário,Branco,Manual,,5,5,Classe 1,Sim,,,,,Sim,Sim,Usados,13 000        EUR,8089256021,6 Julho 2023,d Line Urban,,Metalizado,Tracção traseira,118 g/km,,"5,30 l/100km",,,Série 1,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,Gasolina,Setembro,2015,116 250 km,1 199 cm3,82 cv,,Sim,SUV / TT,Branco,Manual,,5,,,,,18 Meses,,,,,Usados,13 499        EUR,8089989297,6 Julho 2023,1.2 PureTech Style,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,107,Gasolina,Maio,2012,115 000 km,998 cm3,68 cv,,Sim,Citadino,Azul,Manual,5,3,4,Classe 1,,,18 Meses,,,Sim,Sim,Usados,6 550        EUR,8089737308,6 Julho 2023,1.0 Active,,Metalizado,Tracção dianteira,,Importado,"5,10 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C1,Gasolina,Fevereiro,2011,110 000 km,998 cm3,68 cv,,Sim,Citadino,Branco,Manual,5,3,4,Classe 1,,,18 Meses,,,Sim,Sim,Usados,5 850        EUR,8089737470,6 Julho 2023,1.0 SX Airdream,,Metalizado,Tracção dianteira,,Importado,"5,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,Diesel,Julho,2018,254 000 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,1,Sim,Sim,Sim,Usados,13 700        EUR,8089818336,6 Julho 2023,1.5 dCi Limited,,Metalizado,Tracção dianteira,95 g/km,Nacional,"4,20 l/100km","3,40 l/100km",,,Sim,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,Gasolina,Maio,2016,78 809 km,1 199 cm3,82 cv,Sim,Sim,SUV / TT,Cinzento,Manual,,5,5,,,,18 Meses,,,,,Usados,13 889        EUR,8089557545,6 Julho 2023,1.2 VTi Active,Sim,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,Diesel,Março,2014,237 500 km,1 598 cm3,105 cv,Sim,Sim,Carrinha,Cinzento,Manual,5,5,5,Classe 1,,,18 Meses,,,Sim,Sim,Usados,10 990        EUR,8088538876,6 Julho 2023,1.6 TDi Confortline,Sim,Metalizado,,,Nacional,"4,90 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Eléctrico,Novembro,2018,26 000 km,,88 cv,Sim,Sim,Citadino,Roxo,Automática,,5,5,,,,18 Meses,,,,Sim,Usados,12 990        EUR,8089989287,6 Julho 2023,Zen,Sim,,Tracção dianteira,,Importado,,,,,,,300 km,40 kWh,Aluguer,,,,,,,StandVirtual,Yes
Particular,Fiat,500,Gasolina,Março,2010,116 000 km,1 242 cm3,69 cv,,,Citadino,Branco,Manual,5,3,4,,,,,1,,Sim,,Usados,7 490        EUR,8089979957,6 Julho 2023,1.2 Lounge,Sim,Mate,Tracção dianteira,129 g/km,,"5,90 l/100km","4,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
