Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Autonomia,Capacidade da bateria,Valor Fixo,Autonomia Máxima,Origem,Sub-modelo,Classe do veículo,Registo(s),Garantia de Fábrica até,ou até,Consumo Combinado,Filtro de partículas,IUC,Gancho de Reboque,Consumo,Bateria,Clássico,Site,Portugal,Data
Profissional,Peugeot,208,1.6 e-HDi Allure,Diesel,Julho,2013,121 500 km,1 560 cm3,92 cv,Citadino,Cinzento,Manual,5,3,5,Tracção dianteira,,"4,50 l/100km",,Usados,9 900        EUR,8090118014,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-e-hdi-allure-ID8Pwjgq.html,,,Sim,,,36 Meses,Sim,Sim,Sim,,,,950 km,,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,500,1.2 Lounge,Gasolina,Maio,2019,41 183 km,1 242 cm3,69 cv,Citadino,Branco,Manual,,3,,,,,,Usados,14 999        EUR,8090712947,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PxO27.html,,,Sim,,,18 Meses,,,,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Maio,2022,32 636 km,1 193 cm3,71 cv,Citadino,Cinzento,Manual,,5,,,,,,Usados,14 499        EUR,8090256194,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-ID8PwTd8.html,,,Sim,,,36 Meses,,,,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,208,1.2 PureTech Active,Gasolina,Maio,2016,64 000 km,1 199 cm3,82 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,104 g/km,"5,80 l/100km","4,20 l/100km",Usados,10 999        EUR,8089746683,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-active-ID8PtKFd.html,,Sim,Sim,,,18 Meses,Sim,Sim,Sim,,,Sim,,Importado,,Classe 1,,,,,,104 €,,,,,StandVirtual,Yes,2023-10-12
Profissional,Citroën,C1,1.0 SX Airdream CMP5,Gasolina,Novembro,2010,120 000 km,998 cm3,68 cv,Citadino,Vermelho,Automática,5,5,4,Tracção dianteira,,"5,50 l/100km",,Usados,7 750        EUR,8090805074,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-sx-airdream-cmp5-ID8Pyc02.html,,Sim,Sim,,,18 Meses,Sim,Sim,Sim,,,,,Nacional,,Classe 1,2,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,VW,Golf Cabriolet,,Diesel,Abril,2012,126 000 km,1 600 cm3,105 cv,Cabrio,Vermelho,Manual,5,2,4,,,,,Usados,13 900        EUR,8088415300,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-cabriolet-ID8Poaji.html,,Sim,Sim,Metalizado,,18 Meses,,,Sim,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Skoda,Citigo,1.0 MPI Auto Monte Carlo,Gasolina,Março,2016,105 000 km,999 cm3,75 cv,Citadino,Vermelho,Automática,,5,5,,,,,Usados,12 500        EUR,8088792858,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/skoda-citigo-1-0-mpi-auto-monte-carlo-ID8PpKvV.html,,Sim,Sim,Metalizado,,18 Meses,,,Sim,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Ford,Fiesta,1.1 Ti-VCT Business,Gasolina,Outubro,2018,130 000 km,1 084 cm3,70 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,,"6,40 l/100km",,Usados,11 900        EUR,8088034683,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-1-ti-vct-business-ID8Pmzij.html,Sim,Sim,Sim,Metalizado,01/10/2024,18 Meses,Sim,Sim,Sim,,,Sim,,Importado,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Mégane,1.5 dCi Dynamique,Diesel,Maio,2010,213 341 km,1 461 cm3,90 cv,Utilitário,Preto,Manual,5,5,5,,,,,Usados,7 950        EUR,8090155278,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-dynamique-ID8PwsXs.html,,Sim,Sim,Metalizado,,18 Meses,,,Sim,,,,,,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Nissan,Juke,1.5 dCi Tekna Sport,Diesel,Outubro,2010,214 000 km,1 461 cm3,110 cv,Utilitário,Branco,Manual,6,5,5,,,,,Usados,11 950        EUR,8089944251,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-sport-ID8PuA3N.html,,Sim,Sim,,,18 Meses,,,Sim,,,,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
