Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Autonomia,Capacidade da bateria,Valor Fixo,Autonomia Máxima,Origem,Sub-modelo,Classe do veículo,Registo(s),Garantia de Fábrica até,ou até,Consumo Combinado,Filtro de partículas,IUC,Gancho de Reboque,Consumo,Bateria,Clássico,Site,Portugal,Data
Profissional,Peugeot,208,Blue-HDi 120 Stop&Start Allure,Diesel,Janeiro,2013,145 000 km,1 560 cm3,120 cv,Citadino,Preto,Manual,6,5,5,Tracção dianteira,,,,Usados,11 500        EUR,8090011729,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-blue-hdi-120-stop-start-allure-ID8PuRC9.html,,,Sim,,,36 Meses,Sim,Sim,Sim,,,Sim,950 km,,,Classe 1,1,,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Dezembro,2015,191 364 km,1 560 cm3,120 cv,Carrinha,Cinzento,Manual,6,5,5,,99 g/km,,,Usados,12 990        EUR,8090561395,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8PxaBJ.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,500,1.2 Lounge,Gasolina,Agosto,2012,137 612 km,1 242 cm3,69 cv,Citadino,Azul,Manual,5,3,4,,88 g/km,,,Usados,8 750        EUR,8088018000,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PmuXe.html,,Sim,Sim,Metalizado,,18 Meses,,Sim,Sim,,,Sim,,,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Abril,2016,125 872 km,1 461 cm3,90 cv,Utilitário,Cinzento,Manual,5,5,5,,88 g/km,,,Usados,13 990        EUR,8088627051,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8Pp3oD.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Clio,1.5 dCi Dynamique S,Diesel,Janeiro,2014,112 500 km,1 461 cm3,90 cv,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,,"3,30 l/100km",4 l/100km,Usados,10 900        EUR,8089346888,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-dynamique-s-ID8Ps4EU.html,,,Sim,Metalizado,,36 Meses,Sim,Sim,Sim,,,,950 km,,,Classe 1,1,,,4 l/100km,Sim,,,,,,StandVirtual,Yes,2023-10-12
Particular,Renault,Clio Sport Tourer,0.9 TCe Limited Edition,Gasolina,Dezembro,2019,86 000 km,898 cm3,90 cv,Carrinha,Branco,Manual,,5,,,,"5,70 l/100km",,Usados,12 650        EUR,8090291530,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-edition-ID8Pv2p4.html,,,,Pérola,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,500X,1.3 MJ Lounge S&S,Diesel,Setembro,2015,82 000 km,1 248 cm3,95 cv,SUV / TT,Prateado,Manual,5,5,5,Tracção dianteira,105 g/km,"4,50 l/100km","3,70 l/100km",Usados,14 980        EUR,8090741360,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-lounge-s-s-ID8PxWqo.html,,Sim,Sim,Metalizado,20/09/2024,18 Meses,Sim,Sim,Sim,,,Sim,,Nacional,,Classe 1,1,,,,,144 €,,,,,StandVirtual,Yes,2023-10-12
Profissional,Dacia,Logan MCV,1.5 dCi Comfort,Diesel,Setembro,2016,71 000 km,1 461 cm3,90 cv,Carrinha,Prateado,Manual,5,5,5,Tracção dianteira,90 g/km,"3,70 l/100km","3,40 l/100km",Usados,12 480        EUR,8090604693,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-1-5-dci-comfort-ID8PxlS5.html,,,,Metalizado,15/09/2025,18 Meses,Sim,,Sim,,,,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,SEAT,Leon,1.6 TDI DPF S&S I-Tech,Diesel,Setembro,2015,161 000 km,1 598 cm3,105 cv,Utilitário,Prateado,Manual,,5,5,Tracção dianteira,,"4,60 l/100km",,Usados,13 750        EUR,8089996736,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-dpf-s-s-i-tech-ID8PuNIk.html,,Sim,Sim,Metalizado,,18 Meses,,,Sim,,,Sim,,,,Classe 1,1,,,,,147 €,,,,,StandVirtual,Yes,2023-10-12
Profissional,VW,Polo,1.0 Confortline,Gasolina,Maio,2017,96 733 km,999 cm3,75 cv,Utilitário,Preto,Manual,,5,5,,,,,Usados,13 490        EUR,8089580033,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8Pt3jj.html,,Sim,Sim,,,18 Meses,Sim,,Sim,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Dacia,Lodgy,1.5 dCi SL Explorer 7L,Diesel,Setembro,2014,53 000 km,1 461 cm3,109 cv,Monovolume,Castanho,Manual,6,5,7,Tracção dianteira,,"4,30 l/100km",,Usados,12 900        EUR,8088913077,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-lodgy-1-5-dci-sl-explorer-7l-ID8PqfNX.html,,,,Metalizado,,36 Meses,,,Sim,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,Tipo,1.3 M-Jet Pop,Diesel,Maio,2019,97 000 km,1 248 cm3,95 cv,Utilitário,Branco,Manual,5,5,5,Tracção dianteira,120 g/km,"5,30 l/100km","3,60 l/100km",Usados,14 490        EUR,8089839760,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-pop-ID8Pu8Ss.html,Sim,Sim,Sim,Metalizado,,36 Meses,Sim,,Sim,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,VW,Polo,1.6 TDI Style,Diesel,Novembro,2011,180 000 km,1 598 cm3,90 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,,"5,10 l/100km",,Usados,8 750        EUR,8090762272,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-6-tdi-style-ID8Py0RG.html,,Sim,Sim,,,18 Meses,Sim,Sim,,,,,,Importado,,Classe 1,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,Tipo,1.3 M-Jet Pop,Diesel,Maio,2019,89 700 km,1 248 cm3,95 cv,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,120 g/km,"5,30 l/100km","3,60 l/100km",Usados,14 490        EUR,8089839767,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-pop-ID8Pu8Sz.html,Sim,Sim,Sim,Metalizado,,36 Meses,Sim,,Sim,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Nissan,Leaf,Visia Flex,Eléctrico,Abril,2013,100 000 km,,109 cv,Citadino,Azul,Automática,,5,5,,,,,Usados,11 950        EUR,8089989107,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-leaf-visia-flex-ID8PuLJh.html,,Sim,Sim,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Particular,BMW,520,d,Diesel,Outubro,2011,318 380 km,1 995 cm3,184 cv,Carrinha,Azul,Manual,6,5,5,Tracção traseira,135 g/km,"5,80 l/100km","4,40 l/100km",Usados,11 750        EUR,8090731352,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-ID8PxSOY.html,,,,Metalizado,09/10/2024,,Sim,Sim,Sim,,,,1 050 km,Importado,Série 5,Classe 1,2,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Audi,A4,2.0 TDI Advance Multitronic,Diesel,Julho,2011,268 000 km,1 968 cm3,143 cv,Sedan,Preto,Automática,7,4,5,Tracção dianteira,149 g/km,"7,80 l/100km","4,70 l/100km",Usados,13 950        EUR,8090410859,9 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-2-0-tdi-advance-multitronic-ID8PvxrJ.html,,,,Metalizado,20/07/2024,18 Meses,Sim,Sim,Sim,,,,840 km,Nacional,,Classe 1,2,,,,,235 €,,,,,StandVirtual,Yes,2023-10-12
Profissional,Honda,Civic,2.2 i-DTEC Executive,Diesel,Julho,2013,100 000 km,2 199 cm3,150 cv,Utilitário,Branco,Manual,6,5,5,Tracção dianteira,115 g/km,"5,10 l/100km","3,90 l/100km",Usados,15 000        EUR,8090777292,9 Outubro 2023,https://www.standvirtual.com/carros/anuncio/honda-civic-2-2-i-dtec-executive-ID8Py4LV.html,,Sim,Sim,Pérola,,18 Meses,Sim,Sim,Sim,,,,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,108,1.0 e-VTi Allure,Gasolina,Junho,2020,72 716 km,998 cm3,72 cv,Citadino,Preto,Manual,5,5,4,Tracção dianteira,113 g/km,"4,20 l/100km","3,50 l/100km",Usados,11 900        EUR,8089600707,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-e-vti-allure-ID8Pt8GL.html,,,Sim,Metalizado,,18 Meses,,,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Abril,2014,280 559 km,1 598 cm3,105 cv,Carrinha,Cinzento,Manual,,5,5,,,,,Usados,11 000        EUR,8088784390,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PpIkm.html,,,Sim,,,18 Meses,,,,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,SEAT,Ibiza ST,1.2 TDi Reference E-Ecomotive,Diesel,Janeiro,2012,262 376 km,1 199 cm3,75 cv,Carrinha,Vermelho,Manual,,5,5,,,,,Usados,7 950        EUR,8088030533,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-2-tdi-reference-e-ecomotive-ID8Pmydn.html,,,Sim,,,18 Meses,,,Sim,,,Sim,,Importado,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Particular,Fiat,Punto,1.2 Easy Start&Stop,Gasolina,Dezembro,2016,99 025 km,1 242 cm3,69 cv,Citadino,Cinzento,Manual,5,5,,Tracção dianteira,119 g/km,"6,60 l/100km","4,30 l/100km",Usados,7 899        EUR,8090682797,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-easy-start-stop-ID8PxGbP.html,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Executive S/S J18,Diesel,Agosto,2016,187 000 km,1 598 cm3,136 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,114 g/km,"4,80 l/100km","3,70 l/100km",Usados,14 150        EUR,8087703942,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-executive-s-s-j18-ID8PlbfM.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Particular,BMW,318,d Touring Aut. Blue Performance Sport Line,Diesel,Outubro,2014,240 000 km,1 995 cm3,143 cv,Carrinha,Branco,Automática,,5,,,,"5,70 l/100km",,Usados,13 900        EUR,8090804776,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-aut-blue-performance-sport-line-ID8PybWe.html,,,,Metalizado,,,,,,,,,,,Série 3,,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,500,1.2 Lounge,Gasolina,Março,2019,49 564 km,1 242 cm3,69 cv,Citadino,Azul,Manual,,3,,,,,,Usados,14 499        EUR,8090596775,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PxjOn.html,,,Sim,,,36 Meses,,,,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,500,,Gasolina,Junho,2019,30 306 km,1 168 cm3,69 cv,Pequeno citadino,Branco,Manual,,3,4,,,,,Usados,13 490        EUR,8090713427,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-ID8PxO9R.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,SEAT,Ibiza ST,1.4 TDi FR,Diesel,Junho,2016,142 295 km,1 422 cm3,105 cv,Carrinha,Cinzento,Manual,5,5,5,,,,,Usados,13 250        EUR,8090713436,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-4-tdi-fr-ID8PxOa0.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,308,1.6 THP Allure J17,Gasolina,Fevereiro,2014,97 000 km,1 598 cm3,156 cv,Utilitário,Castanho,Manual,6,5,5,Tracção dianteira,,,,Usados,14 500        EUR,8087995157,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-thp-allure-j17-ID8Pmp0N.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,,,,,Classe 1,1,,,6 l/100km,,,,,,,StandVirtual,Yes,2023-10-12
Particular,Audi,A3 Cabrio,1.6 TDi Attraction,Diesel,Fevereiro,2013,118 000 km,1 598 cm3,105 cv,Cabrio,Cinzento,Manual,,2,,,,"5,20 l/100km",,Usados,13 000        EUR,8090804775,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-cabrio-1-6-tdi-attraction-ID8PybWd.html,,,,Metalizado,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Honda,Jazz,1.2 i-VTEC Trend J15,Gasolina,Novembro,2011,63 440 km,1 198 cm3,90 cv,Citadino,Preto,Manual,5,5,5,Tracção dianteira,123 g/km,"6,60 l/100km","4,60 l/100km",Usados,9 950        EUR,8090603963,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/honda-jazz-1-2-i-vtec-trend-j15-ID8PxlGj.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Maio,2016,82 000 km,1 242 cm3,69 cv,Cabrio,Branco,Manual,5,2,4,,,,,Usados,12 990        EUR,8090727395,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8PxRN9.html,,Sim,Sim,,,18 Meses,Sim,Sim,Sim,,,,,Nacional,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Toyota,Aygo,1.0,Gasolina,Novembro,2020,23 000 km,998 cm3,72 cv,Citadino,Prateado,Manual,5,5,4,,113 g/km,,,Usados,13 750        EUR,8090697943,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-ID8PxK87.html,,Sim,Sim,,,18 Meses,Sim,Sim,Sim,,,,,Importado,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Volvo,V60,2.0 D4 R-Design,Diesel,Novembro,2014,208 000 km,1 969 cm3,181 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,"4,30 l/100km",,Usados,13 900        EUR,8090804767,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-d4-r-design-ID8PybW5.html,,,,Metalizado,30/11/2023,36 Meses,Sim,Sim,Sim,,,Sim,,Nacional,,Classe 1,1,,,,,226 €,,,,,StandVirtual,Yes,2023-10-12
Profissional,Ford,Fiesta,1.25 Titanium,Gasolina,Março,2011,95 840 km,1 242 cm3,82 cv,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,,,,Usados,9 990        EUR,8090661190,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-25-titanium-ID8PxAzk.html,,Sim,Sim,Metalizado,,18 Meses,,Sim,Sim,,,,,Nacional,,Classe 1,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,500,1.2 Sport,Gasolina,Abril,2016,70 000 km,1 242 cm3,69 cv,Utilitário,Branco,Manual,5,3,4,,,,,Usados,10 990        EUR,8090621707,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-sport-ID8Pxqiw.html,,Sim,Sim,,,36 Meses,Sim,Sim,Sim,,,Sim,,Nacional,,Classe 1,1,16/09/2023,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Agosto,2018,222 620 km,1 499 cm3,130 cv,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,,,,Usados,11 990        EUR,8088364114,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PnVZI.html,Sim,,Sim,,,18 Meses,Sim,Sim,,,,Sim,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Smart,ForFour,0.9 Passion 90,Gasolina,Junho,2019,27 000 km,898 cm3,90 cv,Utilitário,Preto,Manual,5,5,4,,,,,Usados,14 490        EUR,8088333650,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-ID8PnP4m.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,108,Top! 1.0 VTi Allure,Gasolina,Maio,2020,10 000 km,998 cm3,72 cv,Citadino,Preto,Manual,5,5,4,,,,,Usados,14 990        EUR,8088207695,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-top-1-0-vti-allure-ID8PniiP.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,Importado,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Particular,Renault,Clio,1.5 dCi Dynamique S 82g,Diesel,Maio,2014,140 000 km,1 461 cm3,90 cv,Citadino,Prateado,Manual,5,5,,Tracção dianteira,82 g/km,"3,60 l/100km",3 l/100km,Usados,9 800        EUR,8090798955,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-dynamique-s-82g-ID8Pyapl.html,,,,Metalizado,20/09/2024,,Sim,Sim,Sim,,,Sim,,Importado,,,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,2008,1.6 e-HDi Allure,Diesel,Janeiro,2015,209 000 km,1 560 cm3,92 cv,SUV / TT,Branco,Manual,,5,,Tracção dianteira,,"4,70 l/100km",,Usados,10 900        EUR,8090000071,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-e-hdi-allure-ID8PuOA7.html,,Sim,Sim,Metalizado,,24 Meses,Sim,,Sim,,,,,Nacional,,,1,01/08/2025,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Toyota,Verso,1.6 D-4D Exclusive,Diesel,Fevereiro,2016,153 000 km,1 598 cm3,112 cv,Monovolume,Branco,Manual,6,5,5,Tracção dianteira,119 g/km,,,Usados,14 990        EUR,8090254881,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-verso-1-6-d-4d-exclusive-ID8PwSRX.html,,Sim,Sim,,26/02/2024,18 Meses,Sim,Sim,Sim,,,Sim,,Importado,,Classe 1,1,,20 000 km,,,154 €,,,,,StandVirtual,Yes,2023-10-12
Profissional,Microcar,M.GO,,Diesel,Março,2015,46 000 km,505 cm3,5 cv,Pequeno citadino,Branco,Automática,,2,2,,,,,Usados,10 500        EUR,8089920010,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/microcar-m-go-ID8PutKO.html,,Sim,Sim,Metalizado,,18 Meses,,,Sim,,,Sim,,,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Clio,1.0 SCe Zen,Gasolina,Março,2020,39 000 km,999 cm3,75 cv,Utilitário,Branco,Manual,5,5,5,,,,,Usados,14 500        EUR,8090769670,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-sce-zen-ID8Py2N0.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,RCZ,1.6 THP,Gasolina,Outubro,2010,158 411 km,1 598 cm3,156 cv,Coupé,Preto,Manual,,2,4,,,,,Usados,13 950        EUR,8086955546,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-rcz-1-6-thp-ID8Pi2yS.html,,Sim,Sim,Metalizado,,18 Meses,,Sim,Sim,,,Sim,,Importado,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Captur,(ENERGY) dCi 90 LIMITED,Diesel,Julho,2013,213 000 km,1 461 cm3,90 cv,SUV / TT,Cinzento,Manual,5,5,5,,,,,Usados,11 400        EUR,8090761305,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-energy-dci-90-limited-ID8Py0C5.html,,Sim,Sim,,,18 Meses,Sim,Sim,Sim,,,Sim,,Importado,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,Tipo,1.3 M-Jet Lounge J17,Diesel,Junho,2019,92 000 km,1 248 cm3,95 cv,Utilitário,Preto,Manual,,5,5,,,,,Usados,13 900        EUR,8090452718,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8PvIkS.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Citroën,C3,,Gasolina,Abril,2017,147 356 km,1 199 cm3,68 cv,Citadino,Branco,Manual,,5,5,,,,,Usados,11 790        EUR,8090593702,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-ID8Pxj0O.html,,Sim,Sim,,,18 Meses,,Sim,Sim,,,,,,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Mégane Coupe,1.5 dCi GT Line,Diesel,Junho,2011,173 000 km,1 461 cm3,110 cv,Coupé,Branco,Manual,6,2,,Tracção dianteira,114 g/km,"5,60 l/100km",4 l/100km,Usados,10 950        EUR,8090800708,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-coupe-1-5-dci-gt-line-ID8PyaRC.html,,,,,,18 Meses,Sim,,Sim,,,,,Nacional,,,1,,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
Profissional,MINI,Cooper,,Diesel,Dezembro,2014,160 000 km,1 496 cm3,110 cv,Citadino,Cinzento,Manual,6,3,4,Tracção dianteira,,"4,40 l/100km",,Usados,12 400        EUR,8090611075,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-ID8Pxnx1.html,,Sim,Sim,Pérola,,18 Meses,,Sim,Sim,,,Sim,,,,Classe 1,1,,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Citroën,C1,1.0 SX Airdream,Gasolina,Setembro,2012,220 000 km,998 cm3,68 cv,Pequeno citadino,Vermelho,Manual,5,3,4,,,,,Usados,5 450        EUR,8090762254,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-sx-airdream-ID8Py0Ro.html,,Sim,Sim,,,18 Meses,,,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Volvo,V40,2.0 D3 Momentum,Diesel,Dezembro,2018,216 000 km,1 969 cm3,150 cv,Utilitário,Cinzento,Manual,6,5,5,Tracção dianteira,134 g/km,"5,70 l/100km",4 l/100km,Usados,14 990        EUR,8089554406,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d3-momentum-ID8PsVDY.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,,,,Sim,,Nacional,,,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Julho,2014,188 775 km,1 461 cm3,90 cv,SUV / TT,Cinzento,Manual,5,5,5,Tracção dianteira,139 g/km,"4,60 l/100km","3,90 l/100km",Usados,11 450        EUR,8090747335,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PxVYL.html,,Sim,Sim,Metalizado,,18 Meses,,Sim,Sim,,,,,,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Clio,0.9 TCe Zen,Gasolina,Outubro,2018,108 000 km,898 cm3,90 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,113 g/km,"6,30 l/100km","4,20 l/100km",Usados,11 950        EUR,8090259344,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-zen-ID8PwU1V.html,,,Sim,,11/10/2024,18 Meses,Sim,Sim,Sim,,,,,Importado,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,SEAT,Leon ST,1.6 TDI Style Ecomotive,Diesel,Janeiro,2016,112 131 km,1 598 cm3,110 cv,Carrinha,Cinzento,Manual,,5,5,,,,,Usados,14 749        EUR,8090535979,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-ecomotive-ID8Px3ZN.html,,Sim,Sim,Metalizado,,18 Meses,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Novembro,2017,82 289 km,898 cm3,90 cv,SUV / TT,Dourado,Manual,5,5,5,,,,,Usados,14 600        EUR,8090789223,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8Py7Sn.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,Sim,,,,,,,,"4,10 l/100km",,,,,,,StandVirtual,Yes,2023-10-12
